id,make_model_trim_id,engine_type,fuel_type,cylinders,size,horsepower_hp,horsepower_rpm,torque_ft_lbs,torque_rpm,valves,valve_timing,cam_type,drive_type,transmission,make_model_trim
1,1,gas,premium unleaded (recommended),I4,1.5,200,6000.0,192.0,1800.0,16.0,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,"{'id': 1, 'make_model_id': 1, 'year': 2023, 'name': 'Base', 'description': '4dr Hatchback (1.5L 4cyl Turbo CVT)', 'msrp': 30800, 'invoice': 30055, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 1, 'make_id': 1, 'name': 'Integra', 'make': {'id': 1, 'name': 'Acura'}}}"
2,2,gas,premium unleaded (recommended),I4,5.0,200,6000.0,192.0,1800.0,16.0,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,"{'id': 2, 'make_model_id': 1, 'year': 2023, 'name': 'A-Spec', 'description': 'A-Spec 4dr Hatchback w/Technology Package (1.5L 4cyl Turbo CVT)', 'msrp': 35800, 'invoice': 34400, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 1, 'make_id': 1, 'name': 'Integra', 'make': {'id': 1, 'name': 'Acura'}}}"
3,3,gas,premium unleaded (recommended),I4,5.0,200,6000.0,192.0,1800.0,16.0,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,"{'id': 3, 'make_model_id': 1, 'year': 2023, 'name': 'A-Spec', 'description': 'A-Spec 4dr Hatchback (1.5L 4cyl Turbo CVT)', 'msrp': 32800, 'invoice': 31524, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 1, 'make_id': 1, 'name': 'Integra', 'make': {'id': 1, 'name': 'Acura'}}}"
4,4,gas,premium unleaded (recommended),I4,5.0,200,6000.0,192.0,1800.0,16.0,Variable,Double overhead cam (DOHC),front wheel drive,6-speed manual,"{'id': 4, 'make_model_id': 1, 'year': 2023, 'name': 'A-Spec', 'description': 'A-Spec 4dr Hatchback w/Technology Package (1.5L 4cyl Turbo 6M)', 'msrp': 35800, 'invoice': 34400, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 1, 'make_id': 1, 'name': 'Integra', 'make': {'id': 1, 'name': 'Acura'}}}"
5,5,gas,premium unleaded (recommended),V6,3.5,290,6200.0,267.0,4700.0,24.0,Variable,Single overhead cam (SOHC),front wheel drive,10-speed shiftable automatic,"{'id': 5, 'make_model_id': 2, 'year': 2023, 'name': 'Base', 'description': '4dr SUV (3.5L 6cyl 10A)', 'msrp': 49050, 'invoice': 47815, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 2, 'make_id': 1, 'name': 'MDX', 'make': {'id': 1, 'name': 'Acura'}}}"
6,6,gas,premium unleaded (recommended),V6,5.0,290,6200.0,267.0,4700.0,24.0,Variable,Single overhead cam (SOHC),all wheel drive,10-speed shiftable automatic,"{'id': 6, 'make_model_id': 2, 'year': 2023, 'name': 'SH-AWD', 'description': 'SH-AWD 4dr SUV AWD w/Advance Package (3.5L 6cyl 10A)', 'msrp': 63000, 'invoice': 59031, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 2, 'make_id': 1, 'name': 'MDX', 'make': {'id': 1, 'name': 'Acura'}}}"
7,7,gas,premium unleaded (recommended),V6,3.5,290,6200.0,267.0,4700.0,24.0,Variable,Single overhead cam (SOHC),front wheel drive,10-speed shiftable automatic,"{'id': 7, 'make_model_id': 2, 'year': 2023, 'name': 'Base', 'description': '4dr SUV w/Technology Package (3.5L 6cyl 10A)', 'msrp': 53750, 'invoice': 50599, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 2, 'make_id': 1, 'name': 'MDX', 'make': {'id': 1, 'name': 'Acura'}}}"
8,8,gas,premium unleaded (recommended),V6,3.0,355,5500.0,354.0,1400.0,24.0,Variable,Double overhead cam (DOHC),all wheel drive,10-speed shiftable automatic,"{'id': 8, 'make_model_id': 2, 'year': 2023, 'name': 'Type S', 'description': 'Type S 4dr SUV AWD w/Advance Package (3.0L 6cyl Turbo 10A)', 'msrp': 72700, 'invoice': 68106, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 2, 'make_id': 1, 'name': 'MDX', 'make': {'id': 1, 'name': 'Acura'}}}"
9,9,gas,premium unleaded (recommended),V6,5.0,290,6200.0,267.0,4700.0,24.0,Variable,Single overhead cam (SOHC),all wheel drive,10-speed shiftable automatic,"{'id': 9, 'make_model_id': 2, 'year': 2023, 'name': 'SH-AWD A-Spec', 'description': 'SH-AWD A-Spec 4dr SUV AWD (3.5L 6cyl 10A)', 'msrp': 59450, 'invoice': 55833, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 2, 'make_id': 1, 'name': 'MDX', 'make': {'id': 1, 'name': 'Acura'}}}"
10,10,gas,premium unleaded (recommended),V6,5.0,290,6200.0,267.0,4700.0,24.0,Variable,Single overhead cam (SOHC),all wheel drive,10-speed shiftable automatic,"{'id': 10, 'make_model_id': 2, 'year': 2023, 'name': 'SH-AWD', 'description': 'SH-AWD 4dr SUV AWD w/Technology Package (3.5L 6cyl 10A)', 'msrp': 55950, 'invoice': 52667, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 2, 'make_id': 1, 'name': 'MDX', 'make': {'id': 1, 'name': 'Acura'}}}"
